city,name,context,filename,ratio
다낭,용다리,"Dragon Bridge (Cau Rong), Han River, Da Nang, Vietnam · yellow dragon-shaped bridge",dragon.jpg,16:9
나트랑,Cam Ranh International Airport,"Cam Ranh International Airport (CXR), Cam Ranh, Khanh Hoa, Vietnam · passenger terminal exterior",camranh.jpg,16:9
나트랑,Đầm Market,"Cho Dam / Dam Market Nha Trang, central Nha Trang, Khanh Hoa, Vietnam · circular market building",dammarket.jpg,16:9
나트랑,Long Sơn Pagoda,"Long Son Pagoda / Chua Long Son, Phuong Son, Nha Trang, Khanh Hoa, Vietnam · white Buddha temple",longson.jpg,16:9
나트랑,Mê Trang Cafe - Trần Phú,"Me Trang Cafe Tran Phu branch, Nha Trang, Khanh Hoa, Vietnam · exact cafe storefront",metrangtranphu.jpg,16:9
나트랑,Nha Trang Beach,"Nha Trang Beach / Tran Phu beachfront, central Nha Trang, Khanh Hoa, Vietnam",nhatrangbeach.jpg,16:9
나트랑,Institute of Oceanography,"Institute of Oceanography Nha Trang / Vien Hai Duong Hoc, Cau Da area, Nha Trang, Khanh Hoa, Vietnam",oceanography.jpg,16:9
나트랑,Shine Spa for Sheraton,"Shine Spa for Sheraton Nha Trang, Sheraton Nha Trang Hotel & Spa, Tran Phu, Nha Trang, Vietnam",shinespasheraton.jpg,16:9
나트랑,Spa on The Beach,"Spa on The Beach Nha Trang, Nha Trang beachfront, Khanh Hoa, Vietnam · exact beach spa location",spaonthebeach.jpg,16:9
나트랑,Tuy Hòa → Nha Trang 이동,"Road travel route from Tuy Hoa, Phu Yen to Nha Trang, Khanh Hoa, Vietnam · coastal/intercity driving route",tuyhoaroute.jpg,16:9
나트랑,VinWonders Nha Trang,"VinWonders Nha Trang, Hon Tre Island, Khanh Hoa, Vietnam · amusement park / cable car / entrance",vinwonders.jpg,16:9
꾸이년,APEC Mandala Phú Yên,"APEC Mandala Phu Yen, Tuy Hoa, Phu Yen, Vietnam · high-rise hotel/apartment tower complex",apec.jpg,16:9
꾸이년,Bãi Xép Quy Nhơn,"Bai Xep beach village, south of Quy Nhon, Binh Dinh, Vietnam · fishing village and beach",baixep.jpg,16:9
꾸이년,Bánh Ít Cham Towers,"Banh It Cham Towers (Yang M'Tian), Tuy Phuoc District, Binh Dinh Province, Vietnam · hilltop Cham tower complex",banhit.jpg,16:9
꾸이년,Nhà Hàng Cá Khói,"Nha Hang Ca Khoi, Quy Nhon, Binh Dinh, Vietnam · exact restaurant exterior/signage",cakhoi.jpg,16:9
꾸이년,Eo Gió,"Eo Gio, Nhon Ly commune, Quy Nhon, Binh Dinh, Vietnam · coastal cliffs and seaside walkway",eogio.jpg,16:9
꾸이년,Ghềnh Ráng,"Ghenh Rang scenic area, Ghenh Rang ward, Quy Nhon, Binh Dinh, Vietnam · coastal rocks / Queen Beach area",ghenhrang.jpg,16:9
꾸이년,Hòn Khô,"Hon Kho Island, Nhon Hai commune, Quy Nhon, Binh Dinh, Vietnam · rocky island and clear coastal water",honko.jpg,16:9
꾸이년,Kỳ Co Beach,"Ky Co Beach, Nhon Ly peninsula, Quy Nhon, Binh Dinh, Vietnam · turquoise beach and surrounding cliffs",kyco.jpg,16:9
꾸이년,Chợ Khu 2 / Market 2,"Cho Khu 2 / Market 2, Quy Nhon, Binh Dinh, Vietnam · local market entrance/signage",market2.jpg,16:9
꾸이년,Ô Loan Lagoon,"O Loan Lagoon, Tuy An District, Phu Yen Province, Vietnam · broad coastal lagoon landscape",oloan.jpg,16:9
꾸이년,Tháp Đôi,"Thap Doi / Twin Cham Towers, Quy Nhon, Binh Dinh, Vietnam · pair of red-brick Cham towers",thapdoi.jpg,16:9
뚜이호아,An Spa,"An Spa Tuy Hoa, Phu Yen, Vietnam · exact spa storefront",anspa.jpg,16:9
뚜이호아,Quán Cô Ba Diệp,"Quan Co Ba Diep, Tuy Hoa, Phu Yen, Vietnam · tuna-eye / seafood restaurant, exact storefront",cobadiep.jpg,16:9
뚜이호아,Ô Loan Lagoon,"O Loan Lagoon, Tuy An District, Phu Yen Province, Vietnam · broad coastal lagoon landscape",oloan.jpg,16:9
뚜이호아,Roseli Spa · Rosa Alba Resort,"Roseli Spa inside Rosa Alba Resort & Villas, Tuy Hoa, Phu Yen, Vietnam",roselispa.jpg,16:9
뚜이호아,Bánh Canh Hẹ Thành Tâm,"Banh Canh He Thanh Tam, Tuy Hoa, Phu Yen, Vietnam · exact restaurant storefront",thanhtam.jpg,16:9
뚜이호아,Nhạn Tower,"Nhan Tower / Thap Nhan, Nhan Mountain, Tuy Hoa, Phu Yen, Vietnam · ancient Cham tower on hill",thapnhan.jpg,16:9
뚜이호아,Tuy Hòa Beach,"Tuy Hoa Beach, central Tuy Hoa seafront, Phu Yen, Vietnam · long sandy urban beach",tuyhoabeach.jpg,16:9
뚜이호아,Tuy Hòa Market / Chợ Tuy Hòa,"Cho Tuy Hoa / Tuy Hoa Market, Tuy Hoa city center, Phu Yen, Vietnam · main market entrance",tuyhoamarket.jpg,16:9
뚜이호아,Vũng Rô Bay,"Vung Ro Bay, Dong Hoa District, Phu Yen, Vietnam · mountain-enclosed bay and fishing boats",vungro.jpg,16:9
뚜이호아,WinMart Tuy Hòa,"WinMart Tuy Hoa, Tuy Hoa, Phu Yen, Vietnam · exact WinMart supermarket branch",winmarttuyhoa.jpg,16:9
