도시,장소명,영문명,장소ID,사진파일,현재 외부 대체사진
다낭,다낭 국제공항,Da Nang International Airport,airport,photos/da_nang/airport.jpg,없음
다낭,뉴 오리엔트 호텔,New Orient Hotel Da Nang,hotel,photos/da_nang/hotel.jpg,없음
다낭,다낭역,Ga Đà Nẵng,station,photos/da_nang/station.jpg,없음
다낭,다낭박물관,Da Nang Museum,museum,photos/da_nang/museum.jpg,없음
다낭,꼰시장,Chợ Cồn,con,photos/da_nang/con.jpg,없음
다낭,AEON MALL,AEON MALL Da Nang Thanh Khe,aeon,photos/da_nang/aeon.jpg,없음
다낭,선짜 야시장,Sơn Trà Night Market,night,photos/da_nang/night.jpg,없음
다낭,미카즈키 워터파크,Mikazuki Water Park 365,mikazuki,photos/da_nang/mikazuki.jpg,없음
다낭,Vincom Plaza,Vincom Plaza Ngô Quyền,vincom,photos/da_nang/vincom.jpg,없음
다낭,GO! Da Nang,GO! Da Nang,go,photos/da_nang/go.jpg,없음
다낭,참조각박물관,Museum of Cham Sculpture,cham,photos/da_nang/cham.jpg,있음
다낭,용다리,Dragon Bridge,dragon,photos/da_nang/dragon.jpg,있음
다낭,Xóm Mới Garden,Xóm Mới Garden Đà Nẵng,xom,photos/da_nang/xom.jpg,없음
다낭,Mỳ Quảng Cô Sáu,Mỳ Quảng Cô Sáu,miquang,photos/da_nang/miquang.jpg,없음
다낭,Bánh Xèo Bà Dưỡng,Bánh Xèo Bà Dưỡng,banhxeo,photos/da_nang/banhxeo.jpg,없음
다낭,MỘC Quán Seafood,MỘC Quán Seafood,moc,photos/da_nang/moc.jpg,없음
꾸이년,Diêu Trì Railway Station,Ga Diêu Trì,dieutri,photos/quy_nhon/dieutri.jpg,없음
꾸이년,Sala Quy Nhon Beach Hotel,Sala Quy Nhon Beach Hotel,hotel,photos/quy_nhon/hotel.jpg,없음
꾸이년,Eo Gió,Eo Gió,eogio,photos/quy_nhon/eogio.jpg,있음
꾸이년,Kỳ Co Beach,Kỳ Co Beach,kyco,photos/quy_nhon/kyco.jpg,있음
꾸이년,ExploraScience Quy Nhon,ExploraScience Quy Nhon,explora,photos/quy_nhon/explora.jpg,없음
꾸이년,Ghềnh Ráng,Khu du lịch Ghềnh Ráng,ghenhrang,photos/quy_nhon/ghenhrang.jpg,없음
꾸이년,Tháp Đôi,Tháp Đôi Quy Nhơn,thapdoi,photos/quy_nhon/thapdoi.jpg,없음
꾸이년,Bánh Ít Cham Towers,Bánh Ít Cham Towers / Yang M'Tian,banhit,photos/quy_nhon/banhit.jpg,있음
꾸이년,Hòn Khô,Hòn Khô Island,honko,photos/quy_nhon/honko.jpg,없음
꾸이년,Phương Mai Sand Dunes,Đồi Cát Phương Mai,phuongmai,photos/quy_nhon/phuongmai.jpg,없음
꾸이년,Bãi Xép Quy Nhơn,Bãi Xép Quy Nhơn,baixep,photos/quy_nhon/baixep.jpg,없음
꾸이년,Gành Đá Đĩa,Gành Đá Đĩa / Sea Cliff of Stone Plates,ganhdadia,photos/quy_nhon/ganhdadia.jpg,없음
꾸이년,Ô Loan Lagoon,Ô Loan Lagoon,oloan,photos/quy_nhon/oloan.jpg,없음
꾸이년,Gia Vy 2,Gia Vy 2 Restaurant,giavy,photos/quy_nhon/giavy.jpg,없음
꾸이년,Phượng Tèo,Quán bún chả cá Phượng Tèo,phuongteo,photos/quy_nhon/phuongteo.jpg,없음
꾸이년,Nhà Hàng Cá Khói,Nhà Hàng Cá Khói,cakhoi,photos/quy_nhon/cakhoi.jpg,없음
꾸이년,Mr Mộc,Cơm Ngon Quy Nhơn Mr Mộc,mrmoc,photos/quy_nhon/mrmoc.jpg,없음
꾸이년,Ngô Văn Sở Food Street,Ngô Văn Sở Food Street,foodstreet,photos/quy_nhon/foodstreet.jpg,없음
꾸이년,Surf Bar 1,Surf Bar Quy Nhon,surf,photos/quy_nhon/surf.jpg,없음
꾸이년,KATINAT Quy Nhơn,KATINAT Coffee & Tea House Quy Nhơn,katinat,photos/quy_nhon/katinat.jpg,없음
꾸이년,ADIUVAT Coffee Roasters,ADIUVAT COFFEE ROASTERS QUINHON,adiuvat,photos/quy_nhon/adiuvat.jpg,없음
꾸이년,Tree Hugger,"tree hugger (crafts, café & stay)",treehugger,photos/quy_nhon/treehugger.jpg,없음
꾸이년,Hương Vi Spa & Clinic,Hương Vi Spa & Clinic,huongvi,photos/quy_nhon/huongvi.jpg,없음
꾸이년,Hy-Halona Wellness,Hy-Halona Wellness,hyhalona,photos/quy_nhon/hyhalona.jpg,없음
꾸이년,Chạm Massage & Spa,Cham Massage & Spa,chamspa,photos/quy_nhon/chamspa.jpg,없음
꾸이년,ZENN Wellness,ZENN WELLNESS QUY NHƠN,zenn,photos/quy_nhon/zenn.jpg,없음
꾸이년,Co.opmart Quy Nhơn,Co.opmart Quy Nhơn,coop,photos/quy_nhon/coop.jpg,없음
꾸이년,Chợ Khu 2 / Market 2,Chợ Khu 2 / Market 2,market2,photos/quy_nhon/market2.jpg,없음
꾸이년,Chợ Đầm,Chợ Đầm Quy Nhơn,chodam,photos/quy_nhon/chodam.jpg,없음
꾸이년,MM Mega Market,MM Mega Market Quy Nhơn,mmmega,photos/quy_nhon/mmmega.jpg,없음
꾸이년,Gold Laundry,Gold Laundry Quy Nhon,gold,photos/quy_nhon/gold.jpg,없음
꾸이년,APEC Mandala Phú Yên,APEC Mandala Phú Yên / Tuy Hòa,apec,photos/quy_nhon/apec.jpg,없음
뚜이호아,APEC Mandala Phú Yên,APEC Mandala Phú Yên / Tuy Hòa,apec,photos/tuy_hoa/apec.jpg,없음
뚜이호아,Rosa Alba Resort & Villas,Rosa Alba Resort & Villas Tuy Hoa,rosa,photos/tuy_hoa/rosa.jpg,없음
뚜이호아,Nghinh Phong Tower,Tháp Nghinh Phong,nghinhphong,photos/tuy_hoa/nghinhphong.jpg,없음
뚜이호아,Nhạn Tower,Tháp Nhạn / Nhan Tower,thapnhan,photos/tuy_hoa/thapnhan.jpg,있음
뚜이호아,Gành Đá Đĩa,Gành Đá Đĩa / Sea Cliff of Stone Plates,ganhdadia,photos/tuy_hoa/ganhdadia.jpg,있음
뚜이호아,Ô Loan Lagoon,Ô Loan Lagoon,oloan,photos/tuy_hoa/oloan.jpg,없음
뚜이호아,Mũi Điện · Bãi Môn,Mui Dien Cape Lighthouse / Bai Mon,muidien,photos/tuy_hoa/muidien.jpg,없음
뚜이호아,Vũng Rô Bay,Vũng Rô Bay,vungro,photos/tuy_hoa/vungro.jpg,있음
뚜이호아,Tuy Hòa Beach,Bãi biển Tuy Hòa,tuyhoabeach,photos/tuy_hoa/tuyhoabeach.jpg,없음
뚜이호아,Vincom Plaza Tuy Hòa,Vincom Plaza Tuy Hòa,vincom,photos/tuy_hoa/vincom.jpg,없음
뚜이호아,Co.opmart Tuy Hòa,Co.opmart Tuy Hoa Supermarket,coopmarttuyhoa,photos/tuy_hoa/coopmarttuyhoa.jpg,없음
뚜이호아,Tuy Hòa Market / Chợ Tuy Hòa,Chợ Tuy Hòa / Tuy Hoa Market,tuyhoamarket,photos/tuy_hoa/tuyhoamarket.jpg,없음
뚜이호아,WinMart Tuy Hòa,Siêu thị WinMart Tuy Hòa,winmarttuyhoa,photos/tuy_hoa/winmarttuyhoa.jpg,없음
뚜이호아,Bánh Canh Hẹ Thảo Vy,Bánh canh hẹ Thảo Vy / Phú Yên chive fish-cake noodle,thaovy,photos/tuy_hoa/thaovy.jpg,없음
뚜이호아,Bánh Canh Hẹ Thành Tâm,Bánh canh hẹ Thành Tâm,thanhtam,photos/tuy_hoa/thanhtam.jpg,없음
뚜이호아,Quán Cô Ba Diệp,Cô Ba Diệp · Mắt cá ngừ đại dương / Lẩu gà lá é / Hải sản,cobadiep,photos/tuy_hoa/cobadiep.jpg,없음
뚜이호아,Cơm Gà Tuyết Nhung,Tuyết Nhung Chicken Rice / Cơm gà Phú Yên,tuyetnhung,photos/tuy_hoa/tuyetnhung.jpg,없음
뚜이호아,Ô Loan Seafood Lunch Zone,Ô Loan lagoon seafood lunch area,oloanseafood,photos/tuy_hoa/oloanseafood.jpg,없음
뚜이호아,Hiệp Yến Coffee & Restaurant,Hiệp Yến Cafe & Điểm Tâm,hiepyen,photos/tuy_hoa/hiepyen.jpg,없음
뚜이호아,SANDY VIBES Coffee and Tea,SANDY VIBES Coffee and Tea Tuy Hòa,sandyvibes,photos/tuy_hoa/sandyvibes.jpg,없음
뚜이호아,URA BEACH Camping & Coffee,URA BEACH Camping & Coffee,urabeach,photos/tuy_hoa/urabeach.jpg,없음
